"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";Characteristics:Состав;Weight;Length;Width;Height;"SEO title";"SEO descr";"FB title";"FB descr"
119516862041;;;;;"Артикул 1694";"Размеры 46-56";"Пиджак 1694, брюки 1906";https://static.tildacdn.com/tild3432-3732-4931-a430-386331656539/1694_6_900_1200.jpg;;;;;;V7VjsvL9eCE8zkRT85Dg;;;0;0;0;0;;;;
940088016551;;1694;;;"Артикул 1694 / Сливовый- Сливовый";;;https://static.tildacdn.com/tild3432-3732-4931-a430-386331656539/1694_6_900_1200.jpg;20.0000;2;;Цвет:Сливовый;;VThT4rH78xeo0JleSomb;119516862041;;0;0;0;0;;;;
743021076251;;;;;"Артикул 1694";"Размеры 46-56";"Пиджак 1694, брюки 1906";https://static.tildacdn.com/tild3665-3036-4630-b837-386639306539/1694_7_900_1200.jpg;;;;;;pkO5xdCYd3UD24u7tO81;;;0;0;0;0;;;;
804805034641;;1694;;;"Артикул 1694 / Черный- Черный";;;https://static.tildacdn.com/tild3665-3036-4630-b837-386639306539/1694_7_900_1200.jpg;20.0000;2;;Цвет:Черный;;pGKg4b6RsmJA6k32TRLz;743021076251;;0;0;0;0;;;;
829620361681;;;;;"Артикул 1694";"Размеры 46-56";"Пиджак 1694, брюки 1906";https://static.tildacdn.com/tild3939-6461-4866-b965-383863633234/1694--900_1200.jpg;;;;;;mDdN33mm3SXPPxM4ovrf;;;0;0;0;0;;;;
645494720681;;1694;;;"Артикул 1694 / Бутылка- Бутылка";;;https://static.tildacdn.com/tild3939-6461-4866-b965-383863633234/1694--900_1200.jpg;20.0000;2;;Цвет:Бутылка;;RU1Ygy8FobYbgDtsI4iz;829620361681;;0;0;0;0;;;;
148409260951;;;;;"Юбка 147";"Размеры 44-52";;https://static.tildacdn.com/tild6639-6330-4262-b361-393135633137/__1342_.jpg;;;;;;PjJu8ikASyz6Kr1aAhMt;;;0;0;0;0;;;;
490763953501;;147;;;"Юбка 147 / Бежевый- Бежевый";;;https://static.tildacdn.com/tild6639-6330-4262-b361-393135633137/__1342_.jpg;18.0000;0;;Цвет:Бежевый;;EimPMbvEPjZhCDFNEUXT;148409260951;;0;0;0;0;;;;
983147058871;;;;;"Блузка-рубашка 148";"Размеры 50-60";;https://static.tildacdn.com/tild6636-3866-4566-b633-313839616261/__1694_.jpg;;;;;;7a8xOsVX6UMieeLfB4me;;;0;0;0;0;;;;
820896751221;;148;;;"Блузка-рубашка 148 / Голубой- Голубой";;;https://static.tildacdn.com/tild6636-3866-4566-b633-313839616261/__1694_.jpg;15.0000;0;;Цвет:Голубой;;9zybyiUkd5OTOnhYe41N;983147058871;;0;0;0;0;;;;
848998175031;;;;;"Блузка-рубашка 148";"Размеры 50-60";;https://static.tildacdn.com/tild6138-3133-4733-b931-386334356335/__1672_.jpg;;;;;;CNU2m1mFx290XUBN39Je;;;0;0;0;0;;;;
267097798131;;148;;;"Блузка-рубашка 148 / Белый- Белый";;;https://static.tildacdn.com/tild6138-3133-4733-b931-386334356335/__1672_.jpg;15.0000;0;;Цвет:Белый;;6v8VLjDCjYK5sxOyfEtu;848998175031;;0;0;0;0;;;;
938257718411;;;;;"Артикул 2016";"Размеры 42-52";;https://static.tildacdn.com/tild3465-3134-4161-b539-346539386533/__1008_.jpg;;;;;;tBo4bzUiLVOHbn2iFvCI;;;0;0;0;0;;;;
399766932091;;2016;;;"Артикул 2016 / Синий- Синий";;;https://static.tildacdn.com/tild3965-6365-4138-a532-663233346539/__1012_.jpg;25.0000;0;;Цвет:Синий;;YSTCKA8mvZtD4tgUo6KK;938257718411;;0;0;0;0;;;;
